EntryYear,ExitCategory,exits_n,entry_spend_for_exits,avg_irr,denom_entries_n,denom_entry_spend,frac_by_number,frac_by_entry_spend
2012,merger/acquisition,20,9467.14,0.20340375990476364,51,27161.66,0.39215686274509803,0.3485479164380969
2013,ipo,2,9264.15,-0.26996007785763676,56,87244.61,0.03571428571428571,0.10618592942303255
2013,merger/acquisition,12,5102.6,0.2568656059491328,56,87244.61,0.21428571428571427,0.0584861345589143
2013,reverse merger,2,52900.0,,56,87244.61,0.03571428571428571,0.6063411825670376
2014,merger/acquisition,9,1405.03,0.1349578488848043,35,16964.46,0.2571428571428571,0.0828219701658644
2015,ipo,4,11505.3,-0.39947614714033003,40,66896.3,0.1,0.1719870904668868
2015,merger/acquisition,8,7769.1,0.5103346839246438,40,66896.3,0.2,0.11613646793619378
2015,reverse merger,2,1198.0,-0.07142085680684124,40,66896.3,0.05,0.017908314809638202
2016,ipo,4,17250.0,-0.4306012822867786,56,158366.01,0.07142857142857142,0.10892488861719758
2016,merger/acquisition,10,13756.09,0.10656291938248796,56,158366.01,0.17857142857142858,0.0868626418004722
2016,reverse merger,2,15550.0,-0.2758669410789511,56,158366.01,0.03571428571428571,0.09819026191289405
2017,ipo,1,4090.07,-0.3910744588458161,57,78202.5,0.017543859649122806,0.05230101339471245
2017,merger/acquisition,9,4112.71,0.03548285499603032,57,78202.5,0.15789473684210525,0.052590518205939706
2018,merger/acquisition,4,1944.16,-0.6849684048860596,52,106950.88,0.07692307692307693,0.01817806454701448
2019,ipo,1,6900.0,-0.6305575122677419,44,79480.37,0.022727272727272728,0.08681388876272217
2019,merger/acquisition,6,9057.5,0.3515795166314458,44,79480.37,0.13636363636363635,0.11395895615483422
2020,merger/acquisition,4,6836.0,0.03200490768598299,40,60387.43,0.1,0.11320236678394825
2022,merger/acquisition,3,38534.19,-0.0585775811225437,56,239763.65,0.05357142857142857,0.16071739815439082
