Entry_DealID,Entry_Company,Entry_DealDate,Entry_DealSize,Entry_DealType,Entry_DealType2,Entry_DealType3,Exit_DealID,Exit_Company,Exit_DealDate,Exit_DealSize,Exit_DealType,Exit_DealType2,Exit_DealType3,HoldingYears,AbsDaysAfter
72259-93T,Diamond Resorts International,2016-09-02,2226.0,Buyout/LBO,Public to Private,,168292-36T,Diamond Resorts International,2021-08-02,1400.0,Merger/Acquisition,,,4.914442162902122,1795
10026-19T,Brickyard Healthcare,2006-03-14,2225.0,Buyout/LBO,Public to Private,,181954-00T,Brickyard Healthcare,2021-01-01,,Merger/Acquisition,,,14.803559206023271,5407
10572-04T,Equity Inns,2007-10-24,2200.0,Buyout/LBO,Public to Private,,34500-16T,Equity Inns,2015-02-27,1925.0,Merger/Acquisition,,,7.345653661875428,2683
10736-29T,Petco Health & Wellness Company (NAS: WOOF),2006-10-26,2180.0,Buyout/LBO,Public to Private,,160510-15T,Petco Health & Wellness Company (NAS: WOOF),2021-01-14,864.0,IPO,,,14.220396988364135,5194
10970-74T,Getty Images Holdings (NYS: GETY),2008-07-02,2135.0,Buyout/LBO,Secondary Buyout,Public to Private,184891-24T,Getty Images Holdings (NYS: GETY),2022-07-25,,Reverse Merger,,,14.061601642710473,5136
112780-45T,Imperva,2019-01-10,2116.0,Buyout/LBO,Public to Private,,232346-89T,Imperva,2023-12-04,3700.0,Merger/Acquisition,,,4.898015058179329,1789
10010-53T,Insight Communications,2005-12-16,2100.0,Buyout/LBO,Public to Private,,18248-77T,Insight Communications,2012-02-29,3000.0,Merger/Acquisition,,,6.203969883641341,2266
10166-41T,Laureate Education (NAS: LAUR),2007-07-20,2100.0,Buyout/LBO,Public to Private,Management Buyout,58564-99T,Laureate Education (NAS: LAUR),2017-02-01,490.0,IPO,,,9.538672142368242,3484
10864-36T,Metaldyne Performance Group,2000-11-28,2056.0,Buyout/LBO,Public to Private,,10864-45T,Metaldyne Performance Group,2007-01-11,66.65,Merger/Acquisition,,,6.119096509240246,2235
117846-28T,Hexion,1994-12-22,2000.0,Buyout/LBO,Add-on,Public to Private,117848-17T,Hexion,2004-08-12,1200.0,Merger/Acquisition,Corporate Divestiture,,9.639972621492129,3521
