DealID,Company,Company_norm,DealType,DealType2,DealType3,DealDate,DealSize,DealStatus,EntryDate,HoldingYears,AbsDaysAfter,Seed_DealID,Seed_Company,Seed_DealDate,Seed_DealSize
16002-37T,West Technology Group,west technology group,IPO,,,2013-03-22,425.5,Completed,2006-10-24,6.409308692676249,2341,10605-97T,West Technology Group,2006-10-24,3838.33
140916-16T,ICE Mortgage technology,ice mortgage technology,Merger/Acquisition,,,2020-09-04,11418.0,Completed,2019-04-17,1.3853524982888432,506,116350-48T,ICE Mortgage technology,2019-04-17,3700.0
26156-17T,Bausch + Lomb (TSE: BLCO),bausch + lomb (tse: blco),Merger/Acquisition,,,2013-08-07,8700.0,Completed,2007-10-26,5.782340862422998,2112,10537-84T,Bausch + Lomb (TSE: BLCO),2007-10-26,3670.0
186605-83T,Bausch + Lomb (TSE: BLCO),bausch + lomb (tse: blco),IPO,Spin-Off,,2022-05-06,630.0,Completed,2007-10-26,14.52703627652293,5306,10537-84T,Bausch + Lomb (TSE: BLCO),2007-10-26,3670.0
28688-95T,CHC Helicopter (PINX: CHHCF),chc helicopter (pinx: chhcf),IPO,,,2014-01-21,310.0,Completed,2008-09-16,5.347022587268994,1953,13376-35T,CHC Helicopter (PINX: CHHCF),2008-09-16,3552.21
29633-23T,Alterra Mountain,alterra mountain,IPO,,,2014-01-31,187.5,Completed,2006-10-26,7.266255989048597,2654,11062-72T,Alterra Mountain,2006-10-26,3500.0
77074-66T,Florida East Coast Railway,florida east coast railway,Merger/Acquisition,,,2017-07-07,2100.0,Completed,2007-07-26,9.949349760438055,3634,10235-26T,Florida East Coast Railway,2007-07-26,3500.0
34636-15T,Education Management,education management,IPO,,,2009-10-02,360.0,Completed,2006-06-01,3.3374401095140316,1219,34635-43T,Education Management,2006-06-01,3400.0
83388-88T,Education Management,education management,Merger/Acquisition,,,2017-10-17,,Completed,2006-06-01,11.378507871321013,4156,34635-43T,Education Management,2006-06-01,3400.0
49143-34T,Interactive Data,interactive data,Merger/Acquisition,,,2015-12-14,5800.0,Completed,2010-07-29,5.377138945927447,1964,16298-47T,Interactive Data,2010-07-29,3400.0
109347-94T,Aleris,aleris,Merger/Acquisition,,,2020-04-14,780.0,Completed,2006-12-19,13.319644079397673,4865,10243-54T,Aleris,2006-12-19,3300.0
24727-96T,Masonite,masonite,IPO,,,2013-09-09,,Completed,2005-04-06,8.427104722792608,3078,11195-11T,Masonite,2005-04-06,3260.0
