Company,EntryDate,ExitDate,HoldingYears,PairingNotes,Entry_DealType,Entry_DealType2,Entry_DealType3,Entry_DealSize,Entry_Sponsor,Exit_DealType,Exit_DealType2,Exit_DealType3,Exit_DealSize,Exit_Sponsor,EntryYear,ExitYear
intertek psi,2005-11-04,2015-11-23,10.050650239561945,SingleEntrySingleExit,buyout/lbo,secondary buyout,,202.0,olympus partners(louis mischianti),merger/acquisition,,,329.02,intertek (lon: itrk)(andre lacroix),2005,2015
inteva products,2008-03-10,2024-06-01,16.227241615331966,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,106.0,the renco group,merger/acquisition,,,,,2008,2024
intrepid powerboats,2016-10-21,2021-11-03,5.034907597535934,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,royal ascot partners,merger/acquisition,,,67.1,marinemax (nys: hzo)(william mcgill),2016,2021
inventiv health,2016-11-10,2017-08-01,0.7227926078028748,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,1900.0,"advent international(john maldonado), eshelman ventures",merger/acquisition,,,4279.6,syneos health,2016,2017
ion media,2007-05-04,2021-01-07,13.681040383299111,SingleEntrySingleExit,buyout/lbo,public to private,recapitalization,,citadel enterprise americas,merger/acquisition,,,2650.0,"berkshire hathaway (nys: brk.a), the e.w. scripps (nas: ssp)(adam symson)",2007,2021
iowa mold tooling company,2000-10-16,2006-08-14,5.8261464750171115,SingleEntrySingleExit,buyout/lbo,,,,"american capital(adam blumenthal), mobile tool international",merger/acquisition,,,133.0,oshkosh (nys: osk)(robert bohn),2000,2006
iowa northern railway,2016-03-07,2023-12-06,7.748117727583847,SingleEntrySingleExit,pe growth/expansion,recapitalization,,,"cordish dixon private equity fund i (asx: cd1), kilroy partners, trive capital(david stinnett)",merger/acquisition,,,230.0,canadian national railway (tse: cnr)(tracy robinson),2016,2023
ipreo,2014-08-07,2018-08-02,3.9863107460643397,MultipleEntriesMultipleExits,buyout/lbo,secondary buyout,,975.0,"blackstone (nys: bx)(martin brand), blackstone innovations investments, the goldman sachs group (nys: gs)(sumit rajpal)",merger/acquisition,,,1855.0,ihs markit,2014,2018
iqvia (nys: iqv),2008-01-24,2013-05-09,5.28952772073922,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,,"3i group (lon: iii), bain capital(john connaughton), leonard green & partners(john danhakl), temasek holdings, tpg (nas: tpg)(jonathan coslet)",ipo,,,947.37,"morgan stanley expansion capital, wellington management",2008,2013
ironshore (new york),2015-11-23,2017-05-01,1.4373716632443532,SingleEntrySingleExit,buyout/lbo,,,2100.0,fosun international (hkg: 00656)(guangchang guo),merger/acquisition,,,2935.0,liberty mutual insurance company(david long),2015,2017
isg holdings,2012-05-16,2014-05-06,1.9712525667351128,SingleEntrySingleExit,buyout/lbo,,,6.0,sv health investors(darren black),merger/acquisition,,,225.0,xerox (nas: xrx)(robert zapfel),2012,2014
iso group,2016-08-05,2023-01-09,6.4284736481861735,SingleEntrySingleExit,pe growth/expansion,,,1.25,abs capital partners(donald hebb),merger/acquisition,,,,dynatech international,2016,2023
ita holdings,2005-12-05,2014-08-12,8.684462696783026,SingleEntrySingleExit,buyout/lbo,public to private,,7.0,"jmi equity(bradford woloson), mmv capital partners(ron patterson)",merger/acquisition,,,171.0,ptc (nas: ptc)(james heppelmann),2005,2014
itradenetwork,2007-12-18,2010-07-25,2.6009582477754964,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,98.8,accel-kkr(thomas barnds),merger/acquisition,,,525.0,roper technologies (nas: rop)(brian jellison),2007,2010
ivex protective packaging,2005-09-16,2008-05-09,2.64476386036961,SingleEntryMultipleExits,buyout/lbo,add-on,corporate divestiture,,"atlas holdings(andrew bursky), forest resources(larry richard)",merger/acquisition,,,7.0,induspac,2005,2008
iwco direct,2007-07-11,2017-12-15,10.431211498973306,SingleEntrySingleExit,buyout/lbo,secondary buyout,,410.0,,merger/acquisition,,,469.2,steel connect(warren lichtenstein),2007,2017
izi medical products,2016-05-03,2022-09-30,6.409308692676249,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,,shore capital partners(don pierce),merger/acquisition,,,168.0,halma (lon: hlma),2016,2022
jacobson companies,2007-06-20,2014-08-29,7.19233401779603,SingleEntrySingleExit,buyout/lbo,secondary buyout,,500.0,oak hill capital(ted dardani),merger/acquisition,,,755.18,norbert dentressangle(herve montjotin),2007,2014
jaggaer,2004-04-18,2010-09-24,6.433949349760438,MultipleEntriesSingleExit,buyout/lbo,public to private,,25.3,"centrecourt asset management, intersouth partners, rc capital (cincinnati), trinity ventures",ipo,,,57.0,,2004,2010
jameson inns,2006-07-27,2014-01-01,7.433264887063655,SingleEntrySingleExit,buyout/lbo,add-on,public to private,371.0,"jer investors trust(cia buckley), longhouse hospitality",merger/acquisition,,,,vantage hospitality group,2006,2014
jamf (nas: jamf),2017-11-13,2020-07-22,2.6885694729637235,SingleEntrySingleExit,buyout/lbo,,,924.0,vista equity partners(brian sheth),ipo,pipe,,468.0,"dragoneer investment group, tiger global management",2017,2020
janus international group (nys: jbi),2018-02-15,2021-06-07,3.3073237508555784,SingleEntrySingleExit,buyout/lbo,management buyout,secondary buyout,,clearlake capital group,reverse merger,,,348.0,juniper industrial holdings(roger fradin),2018,2021
jason (acquired),2000-08-04,2014-06-30,13.902806297056811,SingleEntrySingleExit,buyout/lbo,public to private,management buyout,335.0,saw mill capital,merger/acquisition,,,538.65,jason industries(jeffry quinn),2000,2014
jazz semiconductor,2002-03-15,2007-02-20,4.936344969199179,SingleEntrySingleExit,buyout/lbo,,,52.0,the carlyle group (nas: cg)(sterling philps),merger/acquisition,,,260.1,jazz technologies(stephen wozniak),2002,2007
jefferson capital systems (nas: jcap),2018-03-26,2025-06-26,7.252566735112937,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,,j.c. flowers & co.(thomas harding),ipo,,,150.0,,2018,2025
