Company,EntryDate,ExitDate,HoldingYears,PairingNotes,Entry_DealType,Entry_DealType2,Entry_DealType3,Entry_DealSize,Entry_Sponsor,Exit_DealType,Exit_DealType2,Exit_DealType3,Exit_DealSize,Exit_Sponsor,EntryYear,ExitYear
c&k components,2017-09-22,2022-07-19,4.82135523613963,MultipleEntriesMultipleExits,buyout/lbo,secondary buyout,,,sun capital partners(jérôme nommé),merger/acquisition,,,523.01,littelfuse (nas: lfus)(deepak nayar),2017,2022
c.h.i. overhead doors,2015-06-23,2022-06-24,7.003422313483915,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,,kohlberg kravis roberts (nys: kkr)(peter stavros),merger/acquisition,,,3000.0,nucor (nys: nue)(leon topalian),2015,2022
caci idt,2017-05-26,2021-12-29,4.594113620807666,SingleEntrySingleExit,buyout/lbo,,,,"falcon investments, the acacia group (maryland)(gavin long)",merger/acquisition,,,225.0,caci international (nys: caci)(john mengucci),2017,2021
cadence capital management,2005-08-31,2014-08-01,8.917180013689254,SingleEntryMultipleExits,buyout/lbo,management buyout,corporate divestiture,60.0,"mvp capital partners, rosemont investment group",merger/acquisition,,,,,2005,2014
cadence capital management,2005-08-31,2016-06-30,10.830937713894592,SingleEntryMultipleExits,buyout/lbo,management buyout,corporate divestiture,60.0,"mvp capital partners, rosemont investment group",merger/acquisition,,,,pacific life insurance(andrew oleksiw),2005,2016
caesars entertainment (nas: czr),2008-01-01,2014-09-19,6.715947980835044,SingleEntrySingleExit,buyout/lbo,,,31000.0,"apollo asset management (nys: apo), tpg (nas: tpg)",reverse merger,,,,mtr gaming group,2008,2014
cal quality electronics,2001-02-15,2016-04-01,15.123887748117728,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,churchill equity,merger/acquisition,,,23.5,parpro (tai: 4916)(thomas sparrvik),2001,2016
california pizza kitchen,2011-07-07,2022-04-01,10.735112936344969,SingleEntryMultipleExits,buyout/lbo,secondary buyout,public to private,470.0,golden gate capital(joshua olshansky),merger/acquisition,,,,,2011,2022
california trusframe,2018-10-25,2021-09-01,2.8528405201916494,SingleEntrySingleExit,buyout/lbo,management buyout,,,triwest capital partners(chad danard),merger/acquisition,,,182.5,builders firstsource (nys: bldr)(david flitman),2018,2021
calumet energy team,2005-03-24,2008-07-30,3.351129363449692,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,38.0,tenaska capital management(daniel lonergan),merger/acquisition,,,,international power,2005,2008
cambr,2020-05-26,2023-04-03,2.8528405201916494,SingleEntrySingleExit,buyout/lbo,,,,stonecastle partners(joshua siegel),merger/acquisition,,,46.52,national bank holdings (nys: nbhc),2020,2023
cambridge international,2012-04-10,2016-06-01,4.142368240930869,MultipleEntriesSingleExit,buyout/lbo,management buyout,secondary buyout,,industrial growth partners,merger/acquisition,corporate divestiture,,213.4,zurn elkay water solutions (nys: zws)(todd adams),2012,2016
camelbak products,2011-08-25,2015-08-03,3.9397672826830936,SingleEntrySingleExit,buyout/lbo,secondary buyout,,257.5,"anholt services, compass diversified (nys: codi)(alan offenberg)",merger/acquisition,,,412.5,vista outdoor(mark deyoung),2011,2015
camelot education,2011-01-19,2020-12-18,9.91375770020534,SingleEntrySingleExit,buyout/lbo,secondary buyout,,100.0,the riverside company(suzanne kriscunas),merger/acquisition,,,,specialized education services,2011,2020
camp systems international,2012-05-08,2016-12-07,4.583162217659138,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,675.0,"cottonwood acquisitions, gtcr",merger/acquisition,,,2000.0,hearst communications(steven swartz),2012,2016
can-do national tape,2014-10-06,2023-01-16,8.279260780287474,SingleEntrySingleExit,buyout/lbo,secondary buyout,,16.4,"high street capital(joseph katcha), marquette capital partners(andrea grosz)",merger/acquisition,,,,zone enterprises usa(scott zone),2014,2023
canal center office complex (portfolio of four office buildings),2014-10-24,2021-11-01,7.02258726899384,SingleEntrySingleExit,buyout/lbo,asset acquisition,asset divestiture (corporate),176.0,"american real estate partners(brian katz), investcorp(herbert myers)",merger/acquisition,,,,,2014,2021
cancer treatment services international,2016-04-27,2019-06-17,3.137577002053388,SingleEntrySingleExit,buyout/lbo,,,33.0,tpg (nas: tpg),merger/acquisition,,,277.0,varian medical systems(dow wilson),2016,2019
candle-lite,2014-01-30,2023-03-01,9.08145106091718,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,28.0,centre lane partners(mayank singh),merger/acquisition,,,,,2014,2023
canfield technologies,2015-08-17,2025-02-06,9.475701574264203,SingleEntryMultipleExits,buyout/lbo,management buyout,corporate divestiture,23.0,gen cap america(donald napier),merger/acquisition,,,,aim solder uk(ron sabourin),2015,2025
cangen holdings,2005-05-01,2015-12-01,10.584531143052704,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,"capitala group, chb capital partners(samantha sigler)",merger/acquisition,,,22.5,milacron holdings(thomas goeke),2005,2015
cannondale bicycle,2003-05-05,2008-02-04,4.7529089664613275,SingleEntryMultipleExits,buyout/lbo,,,57.8,pegasus capital advisors(david uri),merger/acquisition,,,202.22,dorel industries (tse: dii.a)(martin schwartz),2003,2008
cannondale bicycle,2003-05-05,2021-10-11,18.43668720054757,SingleEntryMultipleExits,buyout/lbo,,,57.8,pegasus capital advisors(david uri),merger/acquisition,corporate divestiture,,,koninklijke gazelle,2003,2021
cap rock energy,2006-05-17,2010-07-13,4.15605749486653,SingleEntrySingleExit,buyout/lbo,public to private,,,lindsay goldberg(russell triedman),merger/acquisition,,,221.5,"hunt consolidated, sharyland utilities",2006,2010
cape systems group,2005-01-13,2013-09-05,8.643394934976044,SingleEntrySingleExit,buyout/lbo,add-on,public to private,2.0,"lrg capital, midmark capital(wayne clevenger), vertex interactive(nicholas toms)",merger/acquisition,corporate divestiture,,,esko(carsten knudsen),2005,2013
capella university,2004-12-01,2006-11-10,1.9411362080766599,SingleEntryMultipleExits,buyout/lbo,secondary buyout,,62.5,"insight partners (new york)(jeffrey horing), maveron(howard schultz), salmon river capital(joshua lewis), tcv(jake reynolds), watershed capital",ipo,,,80.0,,2004,2006
capella university,2004-12-01,2018-08-01,13.664613278576317,SingleEntryMultipleExits,buyout/lbo,secondary buyout,,62.5,"insight partners (new york)(jeffrey horing), maveron(howard schultz), salmon river capital(joshua lewis), tcv(jake reynolds), watershed capital",merger/acquisition,,,1236.96,strategic education (nas: stra)(karl mcdonnell),2004,2018
capital safety group,2012-01-23,2015-08-03,3.5263518138261465,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,1120.0,kohlberg kravis roberts (nys: kkr),merger/acquisition,,,1724.0,3m (nys: mmm)(emily faber-densley),2012,2015
capsugel,2011-08-01,2017-07-05,5.927446954141,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,2375.0,"carlyle alpinvest, harbourvest partners(peter lipson), kohlberg kravis roberts (nys: kkr)(henry kravis), norwest(ryan harris)",merger/acquisition,,,5461.41,lonza group (swx: lonn)(alberto santagostino),2011,2017
capsule technologies (u.s.),2012-07-09,2015-09-11,3.1731690622861053,MultipleEntriesMultipleExits,buyout/lbo,secondary buyout,,,"altur investissement, bulger partners, jmi equity(harry gruner)",merger/acquisition,,,,qualcomm (nas: qcom)(derek aberle),2012,2015
capsule technologies (u.s.),2019-02-11,2021-03-04,2.0588637919233403,MultipleEntriesMultipleExits,buyout/lbo,corporate divestiture,,,francisco partners(justin chen),merger/acquisition,,,539.0,philips (ams: phia)(roy jakobs),2019,2021
caraustar industries,2013-04-13,2019-02-11,5.831622176591376,MultipleEntriesMultipleExits,buyout/lbo,secondary buyout,,470.0,h.i.g. capital(tenno tsai),merger/acquisition,,,1834.9,greif (nys: gef)(peter watson),2013,2019
cardinal logistics,2019-06-07,2024-02-01,4.654346338124572,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,,h.i.g. capital(richard stokes),merger/acquisition,,,302.0,ryder system (nys: r)(steve martin),2019,2024
carecentrix,2011-09-20,2022-08-31,10.94592744695414,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,recapitalization,,"harbourvest partners(ian lane), summit partners(craig frances)",merger/acquisition,,,339.0,walgreens boots alliance (nas: wba)(rosalind brewer),2011,2022
carefree communities,2013-07-11,2016-06-09,2.9130732375085557,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,centerbridge partners(william rahm),merger/acquisition,,,1680.0,sun communities (nys: sui)(gary shiffman),2013,2016
carepayment (pinx: cpyt),2017-03-07,2024-09-01,7.488021902806297,SingleEntryMultipleExits,buyout/lbo,secondary buyout,,,"cedar springs capital(colin mcgrady), crestline investors(chris semple), the cambria group",merger/acquisition,,,,,2017,2024
carolina dairy,2016-03-08,2021-08-31,5.4811772758384665,SingleEntrySingleExit,buyout/lbo,add-on,corporate divestiture,,"ameriqual group(joe penshorn), ares management (nys: ares)(bennett rosenthal), celerant capital, integrita capital partners",merger/acquisition,corporate divestiture,,150.0,saputo (tse: sap)(lino saputo),2016,2021
carter's (nys: cri),2001-07-16,2003-10-24,2.272416153319644,SingleEntrySingleExit,buyout/lbo,secondary buyout,,450.0,"berkshire partners, chatham capital",ipo,,,136.56,,2001,2003
cartlidge & browne winery,2011-07-28,2024-10-07,13.196440793976729,SingleEntryMultipleExits,buyout/lbo,add-on,corporate divestiture,5.0,"leslie rudd investment company, vintage wine estates(patrick roney)",merger/acquisition,corporate divestiture,,,total beverage solution and emerging brands(dave pardus),2011,2024
casa de oro foods,2004-02-03,2011-08-26,7.559206023271732,SingleEntrySingleExit,buyout/lbo,,,,"investamerica venture group, konza valley capital, midstates capital, midwest venture partners, plaza belmont management group(timothy cranor)",merger/acquisition,,,20.0,gruma (mex: grumab),2004,2011
cascade windows,2016-02-02,2021-08-20,5.546885694729637,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,"carlyle alpinvest, centeroak partners(randall fojtasek)",merger/acquisition,,,239.5,cornerstone building brands(james metcalf),2016,2021
casella waste systems (tire recycling),2001-09-18,2017-09-01,15.953456536618754,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,13.0,tpg angelo gordon,merger/acquisition,,,,,2001,2017
casper sleep,2022-01-25,2024-10-28,2.757015742642026,SingleEntryMultipleExits,buyout/lbo,public to private,,308.0,durational capital management(eric sobotka),merger/acquisition,,,,carpenter company,2022,2024
casting technology,2006-09-01,2007-07-01,0.8295687885010267,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,9.0,monomoy capital partners(justin hillenbrand),merger of equals,,,,busche aluminum technologies,2006,2007
castleberry's/snow's,2005-01-14,2008-09-20,3.682409308692676,SingleEntrySingleExit,buyout/lbo,add-on,,93.0,"bumble bee seafoods(craig steeneck), carlisle enterprises",merger/acquisition,corporate divestiture,,,hanover foods (pinx: hnfsa)(jeff warehime),2005,2008
catalyst international,2004-09-08,2007-09-11,3.0061601642710474,SingleEntrySingleExit,buyout/lbo,public to private,,26.0,comvest partners(michael falk),merger/acquisition,,,,aptean(eric musser),2004,2007
catalyst repository systems,2012-04-10,2019-01-31,6.809034907597536,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,32.0,ftv capital(eric byunn),merger/acquisition,,,71.4,opentext (tse: otex)(mark barrenechea),2012,2019
catalytica energy systems,2000-12-25,2007-10-01,6.765229295003422,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,735.58,dsm apps,merger of equals,,,,,2000,2007
ccc intelligent solutions (nas: cccs),2017-02-28,2021-08-02,4.424366872005476,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,3000.0,"advent international(eric wei), esas holding, oak hill capital(steven puccinelli), tcv(david yuan)",reverse merger,,,605.0,dragoneer growth opportunities(marc stad),2017,2021
cdc software (atlanta),2012-04-12,2012-08-07,0.3203285420944558,SingleEntrySingleExit,buyout/lbo,,,249.46,vista equity partners(marc teillon),merger of equals,,,,aptean,2012,2012
cdi engineering solutions,2017-07-31,2024-12-31,7.4195756331279945,SingleEntrySingleExit,buyout/lbo,public to private,,157.5,ae industrial partners(michael greene),merger/acquisition,,,,tata consulting engineers(amit sharma),2017,2024
cdw (nas: cdw),2007-10-12,2013-06-27,5.708418891170431,SingleEntrySingleExit,buyout/lbo,public to private,,7332.6,"harbourvest partners, madison dearborn partners(benjamin chereskin), pinebridge investments, providence equity partners(glenn creamer)",ipo,,,395.25,,2007,2013
cedarcrestone,2011-02-10,2014-07-01,3.3867214236824092,SingleEntrySingleExit,buyout/lbo,,,79.0,golden gate capital(jake mizrahi),merger/acquisition,,,,sierra-cedar,2011,2014
celebrity (home furnishings),2003-08-19,2009-05-01,5.700205338809035,SingleEntrySingleExit,buyout/lbo,secondary buyout,,42.5,krg capital partners,merger/acquisition,,,,,2003,2009
celerant consulting,2006-05-01,2013-01-02,6.674880219028063,SingleEntrySingleExit,buyout/lbo,management buyout,,42.0,caledonia investments (lon: cldn),merger/acquisition,,,77.02,hitachi consulting(philip parr),2006,2013
cellebrite di (nas: clbt),2019-07-01,2021-08-30,2.1656399726214923,SingleEntryMultipleExits,pe growth/expansion,,,110.0,israel growth partners(haim shani),reverse merger,,,480.0,twc tech holdings ii(adam clammer),2019,2021
cellu tissue holdings,2006-05-08,2010-01-22,3.7097878165639973,SingleEntryMultipleExits,buyout/lbo,,,240.0,weston presidio,ipo,,,107.9,,2006,2010
cellu tissue holdings,2006-05-08,2010-12-27,4.63791923340178,SingleEntryMultipleExits,buyout/lbo,,,240.0,weston presidio,merger/acquisition,,,692.02,clearwater paper (nys: clw),2006,2010
celsis international,2009-10-09,2015-07-24,5.7878165639972625,SingleEntrySingleExit,buyout/lbo,public to private,,70.51,"excalibur group holdings, harwood private equity(christopher mills), j.o. hambro capital management(christopher mills), maryland industrial partnerships",merger/acquisition,,,331.61,charles river laboratories international (nys: crl)(george milne),2009,2015
center cut hospitality,2006-12-14,2014-01-06,7.063655030800821,SingleEntrySingleExit,buyout/lbo,public to private,,600.0,lone star funds,merger/acquisition,corporate divestiture,,,,2006,2014
centerplate,2012-10-06,2017-12-27,5.223819301848049,MultipleEntriesMultipleExits,buyout/lbo,management buyout,secondary buyout,551.0,"audax private equity, olympus partners(david cardenas)",merger/acquisition,,,650.0,sodexo (par: sw)(michel landel),2012,2017
centor (ohio),2014-05-01,2015-09-01,1.3360711841204653,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,805.0,montagu private equity,merger/acquisition,,,722.47,gerresheimer (etr: gxi)(uwe rohrhoff),2014,2015
central parking system,2007-05-22,2012-10-02,5.366187542778919,SingleEntrySingleExit,buyout/lbo,public to private,,728.77,"karas partners, kohlberg & company(christopher anderson), lubert-adler, versa capital management",merger/acquisition,,,149.67,sp plus(james wilhelm),2007,2012
centric parts,2017-05-10,2020-12-02,3.564681724845996,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,"crescent capital group, harvest partners",merger/acquisition,,,0.22,first brands group(guy andrysick),2017,2020
cerevel therapeutics,2018-10-23,2020-10-27,2.0123203285420943,SingleEntryMultipleExits,buyout/lbo,,,350.0,"bain capital(christopher gordon), bain capital life sciences, novalis lifesciences(marijn dekkers), novaquest capital management",reverse merger,,,147.0,arya sciences acquisition ii,2018,2020
cerevel therapeutics,2018-10-23,2024-08-01,5.774127310061601,SingleEntryMultipleExits,buyout/lbo,,,350.0,"bain capital(christopher gordon), bain capital life sciences, novalis lifesciences(marijn dekkers), novaquest capital management",merger/acquisition,,,8300.0,abbvie (nys: abbv)(richard gonzalez),2018,2024
certara (nas: cert),2017-08-15,2020-12-11,3.323750855578371,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,850.0,eqt (sto: eqt)(eric liu),ipo,,,668.27,,2017,2020
chadwicks of boston,2008-07-28,2017-06-16,8.88432580424367,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,24.0,monomoy capital partners(daniel collin),merger/acquisition,,,,,2008,2017
chamberlin edmonds,2008-06-05,2010-10-04,2.329911019849418,SingleEntrySingleExit,buyout/lbo,secondary buyout,,100.0,"charterhouse equity partners(christopher garcia), highlander partners, windrose health investors",merger/acquisition,,,260.0,change healthcare(george lazenby),2008,2010
champion mortgage (assets),2007-03-01,2021-12-02,14.757015742642025,SingleEntrySingleExit,buyout/lbo,add-on,,27.5,"fortress investment group, mr. cooper(anthony barone)",merger/acquisition,corporate divestiture,,,mortgage assets management,2007,2021
champion opco,2007-05-11,2021-12-30,14.639288158795345,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,recapitalization,,"polen capital credit, summit partners(christopher dean)",merger/acquisition,,,,great day improvements(michael hoy),2007,2021
change healthcare,2006-11-16,2009-08-11,2.735112936344969,MultipleEntriesMultipleExits,buyout/lbo,,,1196.51,general atlantic(mark dzialga),ipo,,,367.35,,2006,2009
change healthcare,2011-11-02,2016-06-28,4.654346338124572,MultipleEntriesMultipleExits,buyout/lbo,secondary buyout,public to private,3000.0,"blackstone (nys: bx)(neil simpkins), carlyle alpinvest, crimson ventures, west health",merger/acquisition,,,4450.0,mckesson (nys: mck)(john hammergren),2011,2016
change healthcare,2011-11-02,2019-06-27,7.649555099247091,MultipleEntriesMultipleExits,buyout/lbo,secondary buyout,public to private,3000.0,"blackstone (nys: bx)(neil simpkins), carlyle alpinvest, crimson ventures, west health",ipo,,,640.7,,2011,2019
change healthcare,2011-11-02,2022-10-03,10.91854893908282,MultipleEntriesMultipleExits,buyout/lbo,secondary buyout,public to private,3000.0,"blackstone (nys: bx)(neil simpkins), carlyle alpinvest, crimson ventures, west health",merger/acquisition,,,13000.0,optum(andrew witty),2011,2022
charah solutions,2017-01-13,2018-06-14,1.4154688569472964,MultipleEntriesSingleExit,buyout/lbo,,,104.1,bernhard capital partners,ipo,,,88.24,,2017,2018
charlie brown's,2011-04-08,2018-07-01,7.230663928815879,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,distressed acquisition,10.5,praesidian capital,merger/acquisition,,,,,2011,2018
charlotte russe,2009-10-14,2019-03-29,9.453798767967145,SingleEntrySingleExit,buyout/lbo,public to private,,380.0,"advent international(david mussafer), advent-morro equity partners(marly rivera)",merger/acquisition,,,,ym(eric grundy),2009,2019
charming charlie,2013-12-18,2019-09-13,5.735797399041752,SingleEntrySingleExit,buyout/lbo,management buyout,secondary buyout,,tsg consumer(hadley mullin),merger/acquisition,,,1.13,cjs group lp,2013,2019
chart industries (nys: gtls),2005-10-17,2006-07-26,0.7720739219712526,SingleEntrySingleExit,buyout/lbo,secondary buyout,public to private,467.7,first reserve(john hill),ipo,,,187.5,,2005,2006
charter brokerage,2008-02-15,2014-12-12,6.822724161533197,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,"arsenal capital partners(james marden), audax private equity",merger/acquisition,,,500.0,berkshire hathaway (nys: brk.a),2008,2014
chase lumber,2008-04-09,2019-01-01,10.729637234770705,SingleEntrySingleExit,buyout/lbo,secondary buyout,,7.0,bhc capital partners,merger/acquisition,,,,,2008,2019
chase student loans,2006-03-01,2017-04-18,11.132101300479125,SingleEntryMultipleExits,buyout/lbo,secondary buyout,public to private,647.16,j.p. morgan(brad conner),merger/acquisition,,,6900.0,navient (nas: navi),2006,2017
chasing fireflies,2016-11-21,2020-03-06,3.2881587953456535,SingleEntryMultipleExits,buyout/lbo,add-on,corporate divestiture,,"blackstreet capital management(murry gunty), chadwicks of boston(aldus chapin)",merger/acquisition,,,,smiffys(dominique peckett),2016,2020
chc helicopter (pinx: chhcf),2008-09-16,2014-01-21,5.347022587268994,SingleEntrySingleExit,buyout/lbo,public to private,,3552.21,first reserve(mark mccomiskey),ipo,,,310.0,,2008,2014
cheddar's,2006-08-28,2017-04-24,10.655715263518138,SingleEntrySingleExit,buyout/lbo,secondary buyout,,175.0,"l catterton, oak investment partners(john beletic)",merger/acquisition,,,799.8,darden restaurants (nys: dri)(eugene lee),2006,2017
cherry creek media,2014-07-21,2022-03-24,7.67419575633128,SingleEntrySingleExit,pe growth/expansion,recapitalization,,,bain capital credit(brian hirschfeld),merger/acquisition,,,18.75,townsquare media (nys: tsq)(bill wilson),2014,2022
chesapeake energy (natural gas properties in the anadarko & arkoma basin),2008-12-31,2017-06-01,8.41615331964408,SingleEntrySingleExit,buyout/lbo,asset acquisition,asset divestiture (corporate),412.0,,merger/acquisition,,,,,2008,2017
chewy (nys: chwy),2017-05-31,2019-06-14,2.0369609856262834,SingleEntrySingleExit,buyout/lbo,add-on,,3350.0,"ardian, bc partners(raymond svider), caisse de dépôt et placement du québec, gic private, korea investment corporation, petsmart(michael massey), stepstone group (nas: step)",ipo,,,1023.0,,2017,2019
chicago deferred exchange,2007-05-01,2018-12-14,11.62217659137577,SingleEntryMultipleExits,buyout/lbo,management buyout,corporate divestiture,,"ameribank, financial investments corporation, prairie capital",merger/acquisition,,,51.9,wintrust financial (nas: wtfc)(edward wehmer),2007,2018
chicago fire,2007-09-06,2016-08-30,8.982888432580424,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,35.0,andell holdings,merger/acquisition,,,,,2007,2016
chicago fire,2007-09-06,2019-09-13,12.019164955509925,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,35.0,andell holdings,merger/acquisition,,,,,2007,2019
chili's grill and bar,2007-01-27,2015-06-25,8.407939767282683,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,155.0,olympus partners(paul rubin),merger/acquisition,corporate divestiture,,106.5,brinker international (nys: eat)(wyman roberts),2007,2015
choice tv,2008-01-03,2015-06-03,7.41409993155373,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,recapitalization,,spectrum equity,merger/acquisition,,,276.4,liberty global (nas: lbtya)(michael fries),2008,2015
chromalox,2012-12-28,2017-07-03,4.511978097193703,MultipleEntriesSingleExit,buyout/lbo,management buyout,secondary buyout,,"audax private equity, irving place capital(douglas korn)",merger/acquisition,,,338.6,spirax group (lon: spx)(nicholas anderson),2012,2017
chrysal international,2014-11-13,2018-12-19,4.098562628336755,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,nordian capital partners(perry bos),merger/acquisition,,,7.4,oat agrio (tks: 4979)(akihei mori),2014,2018
cig logistics,2017-06-30,2022-08-03,5.092402464065708,SingleEntrySingleExit,buyout/lbo,,,,energy capital partners,merger/acquisition,,,32.1,nextier oilfield solutions(robert drummond),2017,2022
cis global,2015-05-07,2021-06-30,6.1492128678987,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,,"guardian capital partners(adrian ironside), siguler guff",merger/acquisition,,,202.4,nvent electric (nys: nvt)(joseph ruzynski),2015,2021
citadel plastics holdings,2013-12-06,2015-06-01,1.483915126625599,MultipleEntriesSingleExit,pe growth/expansion,,,236.86,,merger/acquisition,,,800.0,lyondellbasell advanced polymers(david minc),2013,2015
city gear,2012-06-28,2018-11-05,6.354551676933607,SingleEntrySingleExit,buyout/lbo,acquisition financing,,,"banyan investment partners, capital alignment partners, capitala group, claritas capital, harbert credit solutions, harbinger capital partners, mount logan management",merger/acquisition,,,113.0,hibbett sports(jeffry rosenthal),2012,2018
citymd,2017-06-08,2023-01-03,5.5715263518138265,SingleEntrySingleExit,buyout/lbo,,,600.0,warburg pincus(in hwang),merger/acquisition,,,8900.0,villagemd(tim barry),2017,2023
cjpg,2001-01-01,2008-08-04,7.5893223819301845,SingleEntrySingleExit,buyout/lbo,secondary buyout,add-on,4.8,"the official information company, vss capital partners(scott troeller)",merger/acquisition,,,,tablemax,2001,2008
clarence j. venne,2013-10-01,2024-07-31,10.830937713894592,SingleEntrySingleExit,buyout/lbo,management buyout,secondary buyout,,"resolute capital partners, tenth street capital",merger/acquisition,,,18.02,pollard banknote (tse: pbl)(john pollard),2013,2024
clarion partners,2011-06-09,2016-04-13,4.84599589322382,SingleEntrySingleExit,buyout/lbo,management buyout,corporate divestiture,100.0,"grail partners(donald putnam), lightyear capital(donald marron)",merger/acquisition,,,447.4,legg mason(joseph sullivan),2011,2016
claritev (nys: ctev),2016-06-01,2020-10-08,4.353182751540041,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,7500.0,"capitalg, carlyle alpinvest, cpp investments, fisher lynch capital, gic private, hellman & friedman(allen thorpe), leonard green & partners, partners group (swx: pghn)",reverse merger,,,1100.0,churchill capital corp iii(mark klein),2016,2020
clark brands,2003-12-01,2022-12-01,19.000684462696782,SingleEntrySingleExit,buyout/lbo,management buyout,secondary buyout,23.4,waveland investments(meghan otis),merger/acquisition,,,,,2003,2022
classic media,2005-04-06,2007-01-11,1.7659137577002053,MultipleEntriesMultipleExits,buyout/lbo,secondary buyout,recapitalization,175.0,"pegasus capital advisors, spectrum equity",merger/acquisition,,,441.82,entertainment rights(michael heap),2005,2007
classic media,2009-04-01,2012-08-29,3.4113620807665983,MultipleEntriesMultipleExits,buyout/lbo,corporate divestiture,,,gtcr(bruce rauner),merger/acquisition,,,155.0,dreamworks animation skg(jeffery katzenberg),2009,2012
clayton holdings,2008-07-02,2014-07-01,5.9958932238193015,SingleEntryMultipleExits,buyout/lbo,public to private,,156.86,greenfield capital partners,merger/acquisition,,,312.5,radian group (nys: rdn),2008,2014
clean earth,2014-08-27,2019-06-28,4.8350444900752905,MultipleEntriesSingleExit,buyout/lbo,management buyout,secondary buyout,254.8,compass diversified (nys: codi)(demetrios dounis),merger/acquisition,,,628.0,enviri (nys: nvri)(f. grasberger),2014,2019
clear channel (16 radio stations in california and arizona),2007-07-05,2017-07-01,9.990417522245037,SingleEntrySingleExit,buyout/lbo,asset acquisition,asset divestiture (corporate),40.0,frontiers capital,merger/acquisition,,,,,2007,2017
clear secure (nys: you),2021-02-08,2021-06-30,0.3887748117727584,SingleEntryMultipleExits,pe growth/expansion,,,100.0,"32 equity, bond capital (san francisco), durable capital partners, enlightened hospitality investments, general atlantic, jump dc, liberty media (nas: fwona), liontree partners, partnership fund for new york city(maria gotsch), revolution (washington dc)",ipo,,,409.2,,2021,2021
clearwire,2004-08-17,2007-03-08,2.5544147843942504,SingleEntryMultipleExits,buyout/lbo,,,,"catalyst investors(brian rich), eagle river investments, greenspun media group, intel capital, mccaw cellular, summerhill venture partners",ipo,,,600.0,double m partners,2004,2007
clearwire,2004-08-17,2008-11-28,4.2819986310746065,SingleEntryMultipleExits,buyout/lbo,,,,"catalyst investors(brian rich), eagle river investments, greenspun media group, intel capital, mccaw cellular, summerhill venture partners",merger of equals,,,,,2004,2008
clearwire,2004-08-17,2013-07-09,8.892539356605065,SingleEntryMultipleExits,buyout/lbo,,,,"catalyst investors(brian rich), eagle river investments, greenspun media group, intel capital, mccaw cellular, summerhill venture partners",merger/acquisition,,,3620.68,sprint(daniel hesse),2004,2013
cleaver-brooks,2012-12-20,2024-05-15,11.40041067761807,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,"fs investors, grupo enesa, harbour group(jeffrey fox)",merger/acquisition,,,807.0,miura (japan) (tks: 6005)(daisuke miyauchi),2012,2024
click commerce,2009-05-15,2010-11-02,1.4674880219028064,SingleEntryMultipleExits,buyout/lbo,,,,marlin equity partners(william atkinson),merger/acquisition,,,298.0,huron consulting group (nas: hurn)(james roth),2009,2010
clicksoftware technologies,2015-07-13,2019-10-01,4.219028062970568,SingleEntryMultipleExits,buyout/lbo,public to private,,438.0,francisco partners(matt spetzler),merger/acquisition,,,1400.0,salesforce (nys: crm)(parker harris),2015,2019
climatec,2012-04-18,2015-01-06,2.7186858316221767,SingleEntrySingleExit,buyout/lbo,,,,pegasus capital advisors(steven wacaster),merger/acquisition,,,226.0,bosch (automotive)(stefan hartung),2012,2015
climax portable machine & welding systems,2013-06-05,2023-10-25,10.387405886379192,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,,industrial growth partners(matthew brennan),merger/acquisition,,,,,2013,2023
cloudmed,2017-12-13,2022-01-10,4.076659822039699,SingleEntrySingleExit,buyout/lbo,secondary buyout,,250.0,new mountain capital(jack qian),merger/acquisition,,,4100.0,r1 rcm(joseph flanagan),2017,2022
