Entry_DealID,Entry_Company,Entry_DealDate,Entry_DealSize,Exit_DealID,Exit_Company,Exit_DealDate,Exit_DealSize,HasBothDates,HasBothSizes,EligibleForIRR,HoldingYears,IRR_XIRR,TotalDistributions,TotalGains,Exit_DealType,Exit_DealType2,Exit_DealType3,EntryYear
10198-81T,Highland Hospitality,2007-07-17,2000.0,45314-29T,Highland Hospitality,2011-03-10,2000.0,True,True,True,3.646817248459959,1.0261740575575245e-13,0.0,2000.0,Merger/Acquisition,Recapitalization,,2007
67783-96T,Polycom,2016-09-27,2000.0,103477-78T,Polycom,2018-07-02,2216.64,True,True,True,1.7604380561259412,0.060160509169220666,0.0,2216.64,Merger/Acquisition,Corporate Divestiture,,2016
10238-23T,Ryerson (NYS: RYI),2007-10-19,2000.0,18521-56T,Ryerson (NYS: RYI),2014-08-08,121.0,True,True,True,6.803559206023272,-0.3378748248249806,0.0,121.0,IPO,,,2007
10208-53T,Genesis HealthCare,2007-07-13,1995.0,36711-82T,Genesis HealthCare,2015-02-02,,True,False,False,7.559206023271732,,,,Reverse Merger,,,2007
18714-43T,Immucor,2011-08-19,1973.0,202020-13T,Immucor,2023-03-15,1543.62,True,True,True,11.570157426420261,-0.020988501264430543,0.0,1543.62,Merger/Acquisition,,,2011
113624-02T,Apptio,2019-01-10,1940.0,226765-27T,Apptio,2023-08-10,4610.0,True,True,True,4.5804243668720055,0.20799867006142442,0.0,4610.0,Merger/Acquisition,,,2019
36613-81T,Omnivision Technologies,2016-01-28,1900.0,123669-73T,Omnivision Technologies,2018-08-15,2178.0,True,True,True,2.546201232032854,0.05509429686421337,0.0,2178.0,Merger/Acquisition,,,2016
21888-82T,Par Pharmaceutical Companies,2012-09-28,1900.0,50260-24T,Par Pharmaceutical Companies,2015-09-25,8135.6,True,True,True,2.9897330595482545,0.6265535109802135,0.0,8135.6,Merger/Acquisition,,,2012
18041-41T,SRA International,2011-07-20,1900.0,57457-18T,SRA International,2015-11-30,1390.0,True,True,True,4.3641341546885695,-0.06911348371336151,0.0,1390.0,Merger/Acquisition,,,2011
10008-82T,LNR Property,2005-02-03,1886.2,24112-54T,LNR Property,2013-01-24,1053.0,True,True,True,7.972621492128679,-0.07050639081623383,0.0,1053.0,Merger/Acquisition,,,2005
